GAME_ID,player_id,person_id,first_name,last_name,jersey_number,position_str,shots,shots_on,goals,assists,faceoff_wins,faceoff_attempts,plusminus,hits,pim,H_A,team_name,PP_G,PP_A1,PP_A2,EV_G,EV_A2,EV_GF,EV_GA,EV_A1,game_number,SH_A1,SH_A2,SH_G
1018606,28452,8795,Vaughn,Watterodt,18,LW,2,2,1,0,0,1,+1,0,0,A,Saskatoon Blades,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28900,9340,Egor,Sidorov,19,LW,3,3,2,0,0,0,+3,0,0,A,Saskatoon Blades,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28901,9341,Tyler,Parr,20,C,2,2,0,0,1,1,+1,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28894,9334,Rowan,Calvert,23,LW,0,0,0,0,0,0,0,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28718,9069,Tanner,Molendyk,24,D,4,4,0,0,0,0,+2,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28355,8676,Spencer,Shugrue,26,D,1,1,0,1,0,2,+2,0,4,A,Saskatoon Blades,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28733,9100,Lukas,Hansen,28,C,0,0,0,0,1,16,+3,0,2,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28903,9343,Jordan,Keller,29,LW,2,2,0,0,1,1,0,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28222,8528,Trevor,Wong,38,C,1,1,0,2,13,22,+2,0,4,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3,0.0,0.0,0.0
1018606,28310,8631,Justin,Lies,43,RW,2,2,0,1,1,2,0,0,5,A,Saskatoon Blades,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,29164,9662,Tomas,Zizka,45,D,0,0,0,0,0,0,+1,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0
1018606,29122,9615,Smyth,Rebman,46,C,1,1,0,0,0,1,0,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28068,8345,Charlie,Wright,47,D,3,3,1,0,0,0,+1,0,0,A,Saskatoon Blades,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28069,8346,Marek,Schneider,55,D,0,0,0,1,0,0,+1,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0
1018607,28917,9359,Bauer,Dumanski,2,D,4,4,0,0,0,0,0,0,0,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28921,9363,Ephram,McNutt,3,D,1,1,1,1,0,0,+2,0,0,H,Prince George Cougars,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28919,9361,Viliam,Kmec,6,D,1,1,0,0,0,0,+1,0,2,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28922,9364,Caden,Brown,8,RW,2,2,0,1,0,0,+2,0,0,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4,0.0,0.0,0.0
1018607,27874,8071,Noah,Boyko,9,LW,1,1,0,0,0,0,0,0,0,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28794,9186,Hudson,Thornton,12,D,3,3,0,1,0,0,0,0,2,H,Prince George Cougars,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4,0.0,0.0,0.0
1018607,28489,8840,Koehn,Ziemmer,13,RW,3,3,1,0,5,9,-1,0,0,H,Prince George Cougars,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,0.0,0.0,0.0
1018607,28393,8714,Cayden,Glover,14,LW,0,0,0,0,0,0,+1,0,0,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28796,9188,Carter,MacAdams,16,LW,2,2,2,1,0,0,+2,0,0,H,Prince George Cougars,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,4,0.0,0.0,0.0
1018607,28924,9366,Ryker,Singer,17,C,3,3,0,0,5,7,+1,0,8,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4,0.0,0.0,0.0
1018607,28809,9204,Carlin,Dezainde,19,C,1,1,0,0,4,14,0,0,0,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28413,8734,Fischer,O'Brien,20,LW,1,1,0,0,0,2,0,0,0,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0
1018607,29267,9767,Ondrej,Becher,21,RW,2,2,1,1,3,5,+2,0,0,H,Prince George Cougars,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4,0.0,0.0,0.0
1018607,28488,8839,Keaton,Dowhaniuk,24,D,5,5,0,1,0,0,+1,0,0,H,Prince George Cougars,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4,0.0,0.0,0.0
1018607,29041,9520,Tyson,Buczkowski,25,D,2,2,0,0,0,0,+2,0,2,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28798,9190,Riley,Heidt,27,C,2,2,0,0,10,21,0,0,0,H,Prince George Cougars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28417,8738,Blake,Eastman,28,RW,3,3,0,2,0,1,+2,0,4,H,Prince George Cougars,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4,0.0,0.0,0.0
1018607,28420,8741,Chase,Wheatcroft,29,C,5,5,0,1,0,0,0,0,0,H,Prince George Cougars,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0
1018607,28523,8874,Lukas,Dragicevic,2,RD,3,3,0,0,0,0,-1,0,6,A,Tri-City Americans,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4,0.0,0.0,0.0
1018607,28500,8851,Ben,Feenan,3,LD,0,0,0,0,0,0,-2,0,2,A,Tri-City Americans,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,0.0,0.0,0.0
1018607,28330,8651,Ian,Ferguson,4,LD,2,2,1,0,0,0,+1,0,4,A,Tri-City Americans,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.0
1018607,29020,9499,Merrek,Arpin,6,RD,1,1,0,0,0,0,-2,0,2,A,Tri-City Americans,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,0.0,0.0,0.0
